time,clock_1,delta_t_1,,,x,y,z,clock_2,delta_t,,change_x,change_y,change_z,,c_vx,c_vy,c_vz,,c_ax,c_ay,c_az,,next_vx,next_vy,next_vz,,next_x,next_y,next_z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.679661,0,0,,,-0.341899722814559,-0.730808436870575,0.720408260822296,0,,,,,,,,,,,,,,,,,,,,,
35.688917,0.0092560000000006,0.0092560000000006,,,-0.330456227064132,-0.721485435962677,0.763209164142608,0.009256,0.009256,,0.011443495750427,0.00932300090789795,0.0428009033203119,,1.23633273016713,1.00723864605639,4.62412525068193,,-0.00277701425858704,-0.242671847759757,-9.79961342570547,,1.23630702612315,1.00499247543353,4.5334200288136,,-0.319012850272021,-0.712172830332422,0.80601006746292
35.698972,0.0193109999999948,0.0100549999999942,,,-0.315855264663696,-0.71047568321228,0.804462194442749,0.018512,0.008333333,,0.0114433767921114,0.00931260563025538,0.0428009033203119,,1.37320526998158,1.11751272033115,5.13610860388178,,-0.00277685231910892,-0.242660219055547,-9.79961392342452,,1.37318212954652,1.11549055191991,5.05444515778645,,-0.30441198429006,-0.701171503283401,0.847263097763061
35.709014,0.0293530000000004,0.0100420000000057,,,-0.299372822046279,-0.69770324230194,0.841626584529876,0.027768,0.008333333,,0.0146008659819604,0.0110013270490205,0.0412530303001411,,1.75210398791941,1.32015929868883,4.95036383403148,,-0.0035313045184981,-0.241855827103754,-9.80002271423622,,1.75207456038293,1.31814383354358,4.86869698134619,,-0.284772078679049,-0.686710313024022,0.882879614830017
35.719225,0.0395639999999986,0.0102109999999982,,,-0.283054262399673,-0.68474668264389,0.874458611011505,0.036101333,0.008333333,,0.0196399056110111,0.014461190259379,0.0356165170669561,,2.35678876759289,1.73534290053919,4.27398221899402,,-0.00454418346309171,-0.231375015394372,-9.80175922781534,,2.35675089939888,1.73341477548803,4.19230089536282,,-0.263414514572797,-0.67029352623857,0.910075128078461
35.719268,0.0396069999999966,4.29999999980169E-05,,,-0.268301486968994,-0.672638475894928,0.903080463409423,0.044434666,0.008333333,,0.0213575641062517,0.0164167867854527,0.027195513248444,,2.56290779526652,1.9700144930549,3.26346172035175,,-0.0043820035504838,-0.205173376920878,-9.80442020470972,,2.56287127857173,1.96830471498228,3.18175822191398,,-0.246944075015631,-0.656228813184493,0.930275976657867
35.729215,0.0495540000000005,0.00994700000000393,,,-0.256764948368072,-0.662302613258361,0.929291844367981,0.052767999,0.008333333,,0.0164704395571662,0.0140647130540766,0.020200848579406,,1.97645282591805,1.68776563399982,2.42410192649279,,-0.00261463354346989,-0.158747040987882,-9.80679317506258,,1.97643103730606,1.68644274204451,2.34237865330287,,-0.240294599596786,-0.648243412253878,0.949492692947387
