time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/08/08/22:55:35.679209,7262,1691515535,678902795,world,-0.9264281988143921,-1.109085202217102,0.5287009477615356,-0.4210375249385834,0.007916265167295933,-0.15756846964359283,0.893217146396637
2023/08/08/22:55:35.679249,7266,1691515535,678973475,world,-0.4701087474822998,-0.8401156663894653,0.22106310725212097,-0.9150947332382202,0.3945177495479584,-0.040673933923244476,-0.07282133400440216
2023/08/08/22:55:35.679657,7267,1691515535,679018733,world,-0.46283745765686035,-0.8337405323982239,0.2706179618835449,-0.8839371204376221,0.3231712877750397,0.11596175283193588,-0.31744053959846497
2023/08/08/22:55:35.679661,7278,1691515535,679107503,world,-0.34189972281455994,-0.730808436870575,0.7204082608222961,0.85848468542099,-0.24087367951869965,-0.2026347666978836,0.4048740863800049
2023/08/08/22:55:35.688917,7279,1691515535,688599150,world,-0.3304562270641327,-0.721485435962677,0.7632091641426086,0.7137014865875244,-0.14335738122463226,-0.3524010181427002,0.5881263017654419
2023/08/08/22:55:35.698972,7280,1691515535,698637105,world,-0.3158552646636963,-0.7104756832122803,0.804462194442749,0.5039082169532776,-0.033934712409973145,-0.46958792209625244,0.7241630554199219
2023/08/08/22:55:35.709014,7281,1691515535,708682533,world,-0.2993728220462799,-0.6977032423019409,0.8416265845298767,0.2490919828414917,0.078020378947258,-0.5492303967475891,0.7938589453697205
2023/08/08/22:55:35.719225,7282,1691515535,718877633,world,-0.28305426239967346,-0.6847466826438904,0.8744586110115051,-0.027369603514671326,0.17931166291236877,-0.5784164667129517,0.7953191995620728
2023/08/08/22:55:35.719268,7283,1691515535,718916745,world,-0.26830148696899414,-0.672638475894928,0.9030804634094238,-0.3019983172416687,0.26165321469306946,-0.5586951971054077,0.7267698049545288
2023/08/08/22:55:35.729215,7284,1691515535,728884717,world,-0.2567649483680725,-0.6623026132583618,0.929291844367981,-0.5504292845726013,0.31996670365333557,-0.49048712849617004,0.5950389504432678
2023/08/08/22:55:35.739003,7285,1691515535,738656153,world,-0.24800139665603638,-0.6539778113365173,0.9556218385696411,-0.7558488249778748,0.34816622734069824,-0.3753529191017151,0.40814605355262756
2023/08/08/22:55:35.749241,7286,1691515535,748883311,world,-0.24177837371826172,-0.6479344964027405,0.9836369156837463,-0.8889896273612976,0.34618139266967773,-0.22604434192180634,0.1968754231929779
2023/08/08/22:55:35.759012,7287,1691515535,758678843,world,-0.23600587248802185,-0.6427710652351379,1.0149037837982178,-0.9472711086273193,0.3133004903793335,-0.05622468516230583,-0.03686535358428955
2023/08/08/22:55:35.769007,7288,1691515535,768663228,world,-0.22864848375320435,-0.6369856595993042,1.0489730834960938,-0.9217754602432251,0.2545231878757477,0.1240214928984642,-0.2648897171020508
2023/08/08/22:55:35.779206,7289,1691515535,778853928,world,-0.21881498396396637,-0.6293295621871948,1.0843335390090942,-0.8149807453155518,0.17323611676692963,0.2939664423465729,-0.4683796167373657
2023/08/08/22:55:35.779221,7290,1691515535,778895275,world,-0.20598600804805756,-0.6196771860122681,1.1195967197418213,-0.6359232068061829,0.07938335835933685,0.43783581256866455,-0.6305551528930664
2023/08/08/22:55:35.789011,7291,1691515535,788678724,world,-0.1903061866760254,-0.6079897880554199,1.1518373489379883,-0.4025394022464752,-0.019427571445703506,0.5446694493293762,-0.735472559928894
2023/08/08/22:55:35.798989,7292,1691515535,798640062,world,-0.17343631386756897,-0.5952026844024658,1.1798381805419922,-0.1323225498199463,-0.11406224220991135,0.605388343334198,-0.7765214443206787
2023/08/08/22:55:35.809227,7293,1691515535,808893480,world,-0.15745742619037628,-0.5827430486679077,1.2035088539123535,0.1483181267976761,-0.1957477182149887,0.6126066446304321,-0.7512640357017517
2023/08/08/22:55:35.819218,7294,1691515535,818856703,world,-0.14372703433036804,-0.5713468790054321,1.223618507385254,0.4193146526813507,-0.25972962379455566,0.5660811066627502,-0.6605057716369629
2023/08/08/22:55:35.829220,7295,1691515535,828872029,world,-0.13324786722660065,-0.5619713664054871,1.2422893047332764,0.6542507410049438,-0.2982288897037506,0.46920108795166016,-0.5127044916152954
2023/08/08/22:55:35.829240,7296,1691515535,828912468,world,-0.12533926963806152,-0.5546726584434509,1.26166570186615,0.8344345092773438,-0.3070777952671051,0.32552459836006165,-0.32164570689201355
2023/08/08/22:55:35.838984,7297,1691515535,838648494,world,-0.11952884495258331,-0.5493688583374023,1.2833800315856934,0.9368466734886169,-0.2931481599807739,0.15693476796150208,-0.10841529816389084
2023/08/08/22:55:35.849428,7298,1691515535,849096074,world,-0.11310292035341263,-0.5442372560501099,1.3084450960159302,0.9600388407707214,-0.25240063667297363,-0.02994546666741371,0.11714421957731247
2023/08/08/22:55:35.858957,7299,1691515535,858625576,world,-0.10467277467250824,-0.5379984378814697,1.335845947265625,0.8988193273544312,-0.18910068273544312,-0.21566885709762573,0.33143913745880127
2023/08/08/22:55:35.869053,7300,1691515535,868688185,world,-0.09394477307796478,-0.5297966599464417,1.3638806343078613,0.7603529095649719,-0.11844266206026077,-0.38601359724998474,0.5087517499923706
2023/08/08/22:55:35.879008,7301,1691515535,878676412,world,-0.07970684766769409,-0.5195431709289551,1.3910459280014038,0.5510823726654053,-0.03134824335575104,-0.5208425521850586,0.6511901617050171
2023/08/08/22:55:35.889244,7302,1691515535,888900147,world,-0.04643881693482399,-0.49480128288269043,1.4333206415176392,0.01519255805760622,0.13146616518497467,-0.65035080909729,0.7480171918869019
2023/08/08/22:55:35.898991,7303,1691515535,898638758,world,-0.03098074346780777,-0.48277896642684937,1.448240876197815,-0.2676669657230377,0.1962222456932068,-0.6306588053703308,0.7015132308006287
2023/08/08/22:55:35.909248,7304,1691515535,908900976,world,-0.018482832238078117,-0.4721272587776184,1.4601819515228271,-0.5283436179161072,0.2398710995912552,-0.5549428462982178,0.5961152911186218
2023/08/08/22:55:35.919229,7305,1691515535,918882219,world,-0.00884675420820713,-0.4637828469276428,1.471458911895752,-0.7436415553092957,0.261550635099411,-0.4289759397506714,0.44109880924224854
2023/08/08/22:55:35.929223,7306,1691515535,928861226,world,-0.0021329671144485474,-0.4574323296546936,1.4840764999389648,-0.893457293510437,0.26549097895622253,-0.26350098848342896,0.24862800538539886
2023/08/08/22:55:35.929241,7307,1691515535,928901595,world,0.004486661404371262,-0.45235976576805115,1.4998241662979126,-0.968073308467865,0.23695173859596252,-0.0736275389790535,0.03559387847781181
2023/08/08/22:55:35.938968,7308,1691515535,938638669,world,0.011352287605404854,-0.44733187556266785,1.518476963043213,-0.95668625831604,0.19293618202209473,0.12378250062465668,-0.17945770919322968
2023/08/08/22:55:35.949207,7309,1691515535,948863522,world,0.020749446004629135,-0.4402819871902466,1.5388376712799072,-0.8575185537338257,0.139030322432518,0.32037267088890076,-0.37774842977523804
2023/08/08/22:55:35.958978,7310,1691515535,958632514,world,0.032860059291124344,-0.4315919280052185,1.559677004814148,-0.689548671245575,0.07144375890493393,0.478216290473938,-0.5391916632652283
2023/08/08/22:55:35.989208,7311,1691515535,988857567,world,0.04792320728302002,-0.42089900374412537,1.5784094333648682,-0.4569036662578583,-0.0019098218763247132,0.5999547243118286,-0.6567265391349792
2023/08/08/22:55:35.989233,7314,1691515535,988917212,world,0.09616954624652863,-0.38453245162963867,1.6095435619354248,0.38124558329582214,-0.17515192925930023,0.6332583427429199,-0.650351881980896
2023/08/08/22:55:35.998981,7315,1691515535,998640457,world,0.10789620131254196,-0.3747636675834656,1.6136233806610107,0.6272385716438293,-0.20420026779174805,0.5292412638664246,-0.5336458086967468
2023/08/08/22:55:36.009228,7316,1691515536,8896474,world,0.11670012772083282,-0.36724284291267395,1.6179018020629883,0.8220110535621643,-0.21326789259910583,0.37251198291778564,-0.37423205375671387
2023/08/08/22:55:36.018961,7317,1691515536,18623650,world,0.12312473356723785,-0.361876904964447,1.6240745782852173,0.9435597062110901,-0.20580792427062988,0.18534569442272186,-0.18161827325820923
2023/08/08/22:55:36.018980,7318,1691515536,18661644,world,0.12947888672351837,-0.35690009593963623,1.6334998607635498,0.9829013347625732,-0.18176372349262238,-0.019680971279740334,0.021902920678257942
2023/08/08/22:55:36.029120,7319,1691515536,28771697,world,0.1372007131576538,-0.35157105326652527,1.6456032991409302,0.9358370304107666,-0.14549373090267181,-0.22876660525798798,0.22518089413642883
2023/08/08/22:55:36.038966,7320,1691515536,38635066,world,0.14742547273635864,-0.34408169984817505,1.6591532230377197,0.8083621263504028,-0.09500019252300262,-0.41676220297813416,0.4047653079032898
2023/08/08/22:55:36.049278,7321,1691515536,48764604,world,0.16065220534801483,-0.334837943315506,1.6721950769424438,0.6090717315673828,-0.04185532405972481,-0.5682892799377441,0.5516585111618042
2023/08/08/22:55:36.059238,7322,1691515536,58908740,world,0.17675639688968658,-0.32365068793296814,1.6823813915252686,0.3568851351737976,0.012901422567665577,-0.6719885468482971,0.6487664580345154
2023/08/08/22:55:36.069017,7323,1691515536,68673701,world,0.19388023018836975,-0.3112383484840393,1.6882593631744385,0.07643527537584305,0.06257328391075134,-0.716333270072937,0.6907307505607605
2023/08/08/22:55:36.069034,7324,1691515536,68715746,world,0.21025989949703217,-0.29904744029045105,1.6897863149642944,-0.21232111752033234,0.10770395398139954,-0.7001665234565735,0.6731169819831848
2023/08/08/22:55:36.078963,7325,1691515536,78632684,world,0.22394798696041107,-0.28793877363204956,1.6878821849822998,-0.48598164319992065,0.13545918464660645,-0.6197035312652588,0.6011990308761597
2023/08/08/22:55:36.089293,7326,1691515536,88960855,world,0.23477661609649658,-0.27920764684677124,1.6844892501831055,-0.7154776453971863,0.15275141596794128,-0.4846310615539551,0.47946998476982117
2023/08/08/22:55:36.098986,7327,1691515536,98639630,world,0.2427615523338318,-0.2724819481372833,1.6818128824234009,-0.8839912414550781,0.15535390377044678,-0.302968293428421,0.32036688923835754
2023/08/08/22:55:36.109208,7328,1691515536,108873094,world,0.24910227954387665,-0.26736465096473694,1.681762933731079,-0.9752957820892334,0.1493697464466095,-0.09512650221586227,0.1320519596338272
2023/08/08/22:55:36.119288,7329,1691515536,118927203,world,0.255090594291687,-0.26339757442474365,1.6847198009490967,-0.9857425093650818,0.11046335846185684,0.11181996017694473,-0.06004997715353966
2023/08/08/22:55:36.119303,7330,1691515536,118967642,world,0.2637454867362976,-0.25668850541114807,1.6903847455978394,-0.9069132804870605,0.09858441352844238,0.3285900950431824,-0.24457715451717377
2023/08/08/22:55:36.129197,7331,1691515536,128854338,world,0.27529600262641907,-0.24907557666301727,1.6965616941452026,-0.7451235055923462,0.06689959019422531,0.5151845812797546,-0.4182107746601105
2023/08/08/22:55:36.139211,7332,1691515536,138865703,world,0.2897360622882843,-0.23974107205867767,1.7021260261535645,-0.5227963924407959,0.03426175191998482,0.6531983017921448,-0.5466645956039429
2023/08/08/22:55:36.148960,7333,1691515536,148640791,world,0.30637791752815247,-0.2277158796787262,1.7036092281341553,-0.25419217348098755,-0.0038962578400969505,0.7332544922828674,-0.6306418180465698
2023/08/08/22:55:36.159168,7334,1691515536,158825645,world,0.32346370816230774,-0.2153274565935135,1.7007142305374146,0.032849233597517014,-0.03814734145998955,0.7494614720344543,-0.6601312160491943
2023/08/08/22:55:36.168995,7335,1691515536,168650460,world,0.33929240703582764,-0.2033694088459015,1.6938579082489014,0.32043588161468506,-0.0647069439291954,0.702811062335968,-0.6318152546882629
2023/08/08/22:55:36.169011,7336,1691515536,168692855,world,0.35237300395965576,-0.1929728239774704,1.683862566947937,0.5791177749633789,-0.08204227685928345,0.5916509032249451,-0.554834246635437
2023/08/08/22:55:36.178927,7337,1691515536,178611679,world,0.36220425367355347,-0.1851051151752472,1.673088788986206,0.7903775572776794,-0.09125383198261261,0.4230867624282837,-0.43355926871299744
2023/08/08/22:55:36.189152,7338,1691515536,188820069,world,0.36950281262397766,-0.1790582537651062,1.663845419883728,0.9311750531196594,-0.09520595520734787,0.21788762509822845,-0.27635806798934937
2023/08/08/22:55:36.198985,7339,1691515536,198639857,world,0.3757629692554474,-0.17438837885856628,1.6574194431304932,0.9907038807868958,-0.09302500635385513,-0.005791422910988331,-0.099089615046978
2023/08/08/22:55:36.208988,7340,1691515536,208657298,world,0.3827885091304779,-0.16955208778381348,1.6541681289672852,0.9658938646316528,-0.08120135962963104,-0.23117050528526306,0.08375966548919678
2023/08/08/22:55:36.219018,7341,1691515536,218665660,world,0.39202386140823364,-0.16328997910022736,1.652878761291504,0.8563598990440369,-0.07110121846199036,-0.44037869572639465,0.260113388299942
2023/08/08/22:55:36.219036,7342,1691515536,218707007,world,0.4042026698589325,-0.1553315967321396,1.651801347732544,0.6699278354644775,-0.05562436580657959,-0.6119841933250427,0.4166269898414612
2023/08/08/22:55:36.229181,7343,1691515536,228846812,world,0.4197942614555359,-0.14495526254177094,1.6490857601165771,0.4299885630607605,-0.038477662950754166,-0.7286911010742188,0.5316377878189087
2023/08/08/22:55:36.238953,7344,1691515536,238621132,world,0.4367743730545044,-0.13301488757133484,1.6422494649887085,0.15302768349647522,-0.0232576634734869,-0.7830291986465454,0.602417528629303
2023/08/08/22:55:36.248981,7345,1691515536,248656872,world,0.45379242300987244,-0.12069165706634521,1.630776047706604,-0.13819314539432526,-0.007271765731275082,-0.7694151997566223,0.6235784292221069
2023/08/08/22:55:36.258969,7346,1691515536,258635271,world,0.46876636147499084,-0.10929994285106659,1.6155023574829102,-0.4185849726200104,0.004922735504806042,-0.6883537769317627,0.5923947095870972
2023/08/08/22:55:36.269074,7347,1691515536,268698739,world,0.48096075654029846,-0.09985017776489258,1.5978200435638428,-0.661830484867096,0.012890996411442757,-0.5427149534225464,0.5169862508773804
2023/08/08/22:55:36.269102,7348,1691515536,268748886,world,0.48993340134620667,-0.09262992441654205,1.5799884796142578,-0.8476778268814087,0.024279700592160225,-0.34971120953559875,0.3981896936893463
2023/08/08/22:55:36.278975,7349,1691515536,278640890,world,0.49667462706565857,-0.08753608167171478,1.5642224550247192,-0.9595946669578552,0.02993423119187355,-0.12282699346542358,0.2513875663280487
2023/08/08/22:55:36.289234,7350,1691515536,288895167,world,0.5028445720672607,-0.0830351859331131,1.5515421628952026,-0.9895364046096802,0.03844974562525749,0.1110898107290268,0.08365684002637863
2023/08/08/22:55:36.298943,7351,1691515536,298621226,world,0.5106443166732788,-0.07793767750263214,1.541884422302246,-0.9341289401054382,0.04601720720529556,0.3424071967601776,-0.08968215435743332
2023/08/08/22:55:36.308994,7352,1691515536,308656198,world,0.5208889842033386,-0.0711476132273674,1.5336939096450806,-0.800202488899231,0.05478912591934204,0.5418590307235718,-0.25112369656562805
2023/08/08/22:55:36.318974,7353,1691515536,318618394,world,0.5338664650917053,-0.06267799437046051,1.525075078010559,-0.5903636813163757,0.06008447706699371,0.6996811628341675,-0.39787790179252625
2023/08/08/22:55:36.328985,7354,1691515536,328628152,world,0.5500295758247375,-0.05221699923276901,1.514158844947815,-0.3322666585445404,0.06748434156179428,0.7926180362701416,-0.5067557096481323
2023/08/08/22:55:36.329005,7355,1691515536,328666636,world,0.5671224594116211,-0.039352044463157654,1.4987595081329346,-0.04940460994839668,0.06628690659999847,0.823861837387085,-0.5607289671897888
2023/08/08/22:55:36.338943,7356,1691515536,338621428,world,0.5840781927108765,-0.02776225283741951,1.4787023067474365,0.2345694899559021,0.07200011610984802,0.7719857096672058,-0.5863713622093201
2023/08/08/22:55:36.349207,7357,1691515536,348885973,world,0.5983595848083496,-0.01697378419339657,1.455236792564392,0.5018073916435242,0.06977931410074234,0.6573002338409424,-0.5579216480255127
2023/08/08/22:55:36.358969,7358,1691515536,358637873,world,0.6095935702323914,-0.008409221656620502,1.4301210641860962,0.726103663444519,0.06255277991294861,0.4821021854877472,-0.48624899983406067
2023/08/08/22:55:36.369118,7359,1691515536,368672216,world,0.6175958514213562,-0.002410320797935128,1.4052515029907227,0.886128306388855,0.05505501106381416,0.26153627038002014,-0.3786086440086365
2023/08/08/22:55:36.369134,7360,1691515536,368710909,world,0.6238225698471069,0.0029788361862301826,1.38326895236969,0.9708518981933594,0.025974560528993607,0.026296250522136688,-0.23681315779685974
2023/08/08/22:55:36.378963,7361,1691515536,378634971,world,0.6305794715881348,0.00710076279938221,1.3644659519195557,0.9712323546409607,0.005304933525621891,-0.22214612364768982,-0.08562024682760239
2023/08/08/22:55:36.389170,7362,1691515536,388821641,world,0.6389467120170593,0.01235361397266388,1.3483154773712158,0.8892257213592529,-0.02308865450322628,-0.45073872804641724,0.074693962931633
